,hour,route_id,boardings,alightings
35,14,46,12270,11690
38,15,46,9622,9825
39,15,55,9051,9345
32,13,46,8772,7715
36,14,55,8499,8354
33,13,55,8213,7218
41,16,46,8141,7625
23,10,46,7396,7651
29,12,46,7390,7130
26,11,46,7091,7213
30,12,55,6842,6242
44,17,46,6088,6048
12,6,55,5754,5967
20,9,46,5435,4958
24,10,55,4738,4162
42,16,55,4426,4686
9,5,55,4265,3448
27,11,55,4054,3920
17,8,46,3844,4406
47,18,46,3754,3757
16,7,100,3682,3564
45,17,55,3655,4101
14,7,46,3429,3510
10,5,100,3086,2273
50,19,46,3048,2651
15,7,55,2929,3495
21,9,55,2673,2142
11,6,46,2481,2579
53,20,46,2166,1910
56,21,46,1798,1955
43,16,100,1626,1287
8,5,46,1409,1321
34,13,100,1317,756
48,18,55,1288,1545
6,4,55,1116,709
18,8,55,1051,1405
19,8,100,940,1902
40,15,100,923,513
13,6,100,899,1242
46,17,100,784,259
59,22,46,755,781
7,4,100,741,757
25,10,100,593,167
63,23,55,494,373
62,23,46,427,424
57,21,55,418,323
60,22,55,367,419
54,20,55,316,285
31,12,100,311,535
51,19,55,279,514
28,11,100,271,596
0,0,46,187,209
37,14,100,94,778
22,9,100,92,46
3,1,55,51,11
49,18,100,29,8
5,4,46,28,13
1,0,55,13,21
2,1,46,13,16
64,23,100,7,0
52,19,100,4,5
55,20,100,2,0
58,21,100,0,3
4,3,55,0,0
61,22,100,0,0
